#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
7800,-358204.72867067205,299.669519169385,237.98045607433852
7900,-358920.46597535955,302.0303745429979,237.98045607433852
8000,-359029.51187379705,301.42645532235724,237.98045607433852
8100,-358671.61734254705,303.42445868737985,237.98045607433852
8200,-357950.46011598455,298.2696675243415,237.98045607433852
8300,-359006.56753785955,303.02746041921915,237.98045607433852
8400,-358856.31851442205,300.56781192716846,237.98045607433852
8500,-358977.85953004705,300.40722236222456,237.98045607433852
8600,-359168.86343629705,298.2573783541537,237.98045607433852
8700,-359413.61929567205,299.7446107918937,237.98045607433852
8800,-359270.46206910955,300.39805257368675,237.98045607433852
8900,-359765.50210817205,300.77125903071595,237.98045607433852
9000,-359294.32437379705,298.5289681373855,237.98045607433852
9100,-358593.58804567205,297.05273874106575,237.98045607433852
9200,-358827.08316285955,299.2070336781321,237.98045607433852
9300,-358533.29117067205,300.197647213681,237.98045607433852
9400,-358404.12613160955,304.60706816961465,237.98045607433852
9500,-358930.00503785955,301.1245103870233,237.98045607433852
9600,-358253.06167848455,298.3075714990226,237.98045607433852
9700,-358329.81167848455,298.0625115777331,237.98045607433852
9800,-357863.17105348455,299.52374939433486,237.98045607433852
9900,-358390.46597535955,302.23903499396516,237.98045607433852
10000,-358721.53726442205,301.0773069752018,237.98045607433852
10100,-359704.738442644,305.38990352645203,234.4950780233278
10200,-358545.19157485384,301.12136189537426,234.58597682509446
10300,-359022.3048285288,303.5941773528907,233.63225963729948
10400,-359704.14792884304,304.5448051851037,232.04462660387003
10500,-359297.60861733253,302.997335656988,231.5642131034364
10600,-359389.79611733253,299.82418788920137,231.5642131034364
10700,-359871.11740639503,300.1025367862965,231.5642131034364
10800,-360481.72385170753,302.1971161655426,231.5642131034364
10900,-359813.9162404435,302.1711634963102,231.24034520006643
11000,-359768.10963430605,307.8356932900488,230.1882624262468
11100,-359666.28443402797,305.8686506145798,229.44093213737668
11200,-360630.1923021653,304.2762451992774,228.77542992426152
11300,-360299.4813646653,300.5787171669284,228.77542992426152
11400,-360510.8505052903,300.25515713200906,228.77542992426152
11500,-360573.0829271653,297.1840477926791,228.77542992426152
11600,-361363.4581435523,295.63202992120466,227.83118394676612
11700,-361826.7755263648,299.79768364966407,227.83118394676612
11800,-361415.3575576148,296.3081790822976,227.83118394676612
11900,-361358.6888605817,297.8992215292885,226.5196600551854
12000,-361779.7533137067,296.99657098563557,226.5196600551854
12100,-362209.5804621442,294.7245491680793,226.5196600551854
12200,-362563.8336467049,295.53246681597915,225.89599313456472
12300,-362140.05137180514,297.16234671371285,225.8103452052175
12400,-361138.8133974653,295.8475677449686,225.5061267660359
12500,-362482.4501162153,300.38464615573815,225.5061267660359
12600,-362244.8466873537,299.95159292786036,225.29582328531538
12700,-361445.9365311037,301.13318440152057,225.29582328531538
12800,-361702.10933701927,301.95171919007413,225.04150541918574
12900,-361495.88565193815,298.78013421135546,225.17972002908908
13000,-361461.91510755196,297.94493249992314,225.18864666602255
13100,-361389.96564966254,300.0363942146532,224.77926155395718
13200,-360844.32833620254,300.63685356724096,224.25019405293267
13300,-360485.30685182754,301.72242121011215,224.25019405293267
13400,-360853.52169557754,300.2693480505178,224.25019405293267
13500,-361364.37319962797,302.0369826621228,224.42231305606896
13600,-361449.24624650297,301.5013829109073,224.42231305606896
13700,-361437.1551412379,302.6655414010735,223.43193429931821
13800,-360748.6641843498,299.91235791528794,223.21160130881594
13900,-360870.58589092526,298.4986471773108,224.51395361254288
14000,-361332.80361373187,301.4158388015206,224.5353926830094
14100,-361728.0932659793,301.90212887352584,224.62850070211374
14200,-361192.6819242139,299.8392980986123,225.3132942342994
14300,-361696.23213107814,299.39145921488176,225.25664836048944
14400,-360540.39219034114,299.0144154958907,224.84348187737453
14500,-361618.53019539337,301.9704276361033,224.34601289021262
14600,-360901.0135828464,300.4391525219581,224.57422234994556
14700,-360948.9481531589,299.36267933590227,224.57422234994556
14800,-361285.0902783659,304.8927469388696,224.3359838779538
14900,-360407.85868275305,302.83459878999486,224.60451668683993
15000,-360250.27372181555,302.47220650538867,224.60451668683993
15100,-360538.57528779213,298.8570320877346,224.5748715498949
15200,-360774.03584527806,301.37304137163295,225.31663146611933
15300,-360408.97143951594,301.1705484349009,225.1350081158861
15400,-360715.5014065872,301.8222303090079,225.32807067516455
15500,-360973.6830472122,299.2571866948526,225.32807067516455
15600,-361127.38035073667,300.0255032319135,225.2706538438099
15700,-361293.87114495947,299.1038394380585,225.24439091743167
15800,-360698.71826461493,298.76499434951904,224.94573494928247
15900,-361068.7512587551,301.92870548677587,224.2223537689417
16000,-361102.3109612246,302.34883778185474,224.21144725942128
16100,-361174.18043335807,302.1972057273912,224.10606814158697
16200,-361052.91967782006,300.24941442718904,224.3380959136031
16300,-361227.95971688256,301.822956381741,224.3380959136031
16400,-360139.1892396384,298.6742019597349,224.6129488718139
16500,-360689.9318637494,300.3890979081576,224.39160277339187
16600,-360894.0942377418,302.0227340903696,224.05562164598976
16700,-360558.1411750552,298.9605663761241,223.92119495188902
16800,-361319.1727548083,303.50837865069565,223.86445272888866
16900,-361155.7555273047,302.6806832225674,223.7992453308291
17000,-360819.32122910954,300.28156491701634,223.68355806499497
17100,-360914.9238039325,302.48894153459156,223.43779299068885
17200,-361189.7971520056,300.92564639608935,224.36494113202414
17300,-361709.33902011905,300.1572887118651,224.68374252738556
17400,-361288.6995914134,300.6034321440162,224.74798291575897
17500,-361680.38612962165,299.65595731253615,224.91179439278304
17600,-362227.2550019226,305.6341352495997,224.89533126348493
17700,-360966.30105903046,299.66187113994783,224.87570143800855
17800,-361510.7052929718,301.5977689278129,224.5945449498249
17900,-361280.08872500854,302.4401758302225,223.94046356142752
18000,-361070.6165734404,300.9071037477688,223.65500764336952
18100,-361450.5744046287,302.7955575973979,224.34261210753706
18200,-361965.07647983637,303.7050418237731,224.2071606364399
18300,-361281.65668665525,300.10999746749116,224.36101575975897
18400,-361552.02387415525,299.8042824028136,224.36101575975897
18500,-360673.18329297844,302.045072915123,224.62807063303148
18600,-360811.2324271151,302.6209913489524,225.16181155328925
18700,-360909.97327295435,301.842256161824,224.89404521648044
18800,-361409.4607304721,304.33557266647307,224.21180162261484
18900,-360683.21844968805,303.1463608855711,225.02800118137736
19000,-360461.8897525149,299.9746230637053,224.9368591960569
19100,-360560.9869611466,300.90182667979246,225.0961329861267
19200,-361066.55499168835,303.1935518817153,225.12300685203905
19300,-359884.5830926015,300.9052079122866,225.68845637034494
19400,-360126.6664448455,302.24871593970124,225.59937267496295
19500,-360038.4978252875,303.1550481285841,226.15661342582857
19600,-360711.50719576096,304.83282148138005,225.8832070632379
19700,-360624.08938139956,304.83414932642046,225.83558178555435
19800,-360598.13755992753,301.3130159181531,225.39550608104392
19900,-361285.8346105092,301.20843819411766,225.25272218832282
20000,-360874.2149718136,299.50509499415216,225.6466465423234
